date,currency_code,Country,local_price,dollar_ex,dollar_price,Year,Code,gdp_growth,GDP_Per_Capita,GDP,country_code,region,sub_region,GDP_log10
4/1/2000,ARS,Argentina,2.5,1,2.5,2000,ARG,-10.89448483,6854.294081,2.58282E+11,32,Americas,Latin America and the Caribbean,
4/1/2000,AUD,Australia,2.59,1,2.59,2000,AUS,4.001431121,45806.68745,9.00166E+11,36,Oceania,Australia and New Zealand,
4/1/2000,BRL,Brazil,2.95,1,2.95,2000,BRA,3.053461858,8954.837245,1.60773E+12,76,Americas,Latin America and the Caribbean,
4/1/2000,CAD,Canada,2.85,1,2.85,2000,CAN,3.016889454,44863.21602,1.40691E+12,124,Americas,Northern America,
4/1/2000,CLP,Chile,1260,514,2.45,2000,CHL,3.106970532,9814.656135,1.53937E+11,152,Americas,Latin America and the Caribbean,
4/1/2000,CNY,China,9.9,8,1.24,2000,CHN,9.130645945,2061.162284,2.63911E+12,156,Asia,Eastern Asia,
4/1/2000,CZK,Czech Republic,54.37,39,1.39,2000,CZE,1.652494055,15577.3922,1.58841E+11,203,Europe,Eastern Europe,11.2009636
4/1/2000,DKK,Denmark,24.75,8,3.09,2000,DNK,0.46634555,56190.81125,3.02078E+11,208,Europe,Northern Europe,11.48011899
4/1/2000,HUF,Hungary,339,279,1.22,2000,HUN,4.528205916,11450.28384,1.16319E+11,348,Europe,Eastern Europe,11.06565045
4/1/2000,IDR,Indonesia,14500,7945,1.83,2000,IDN,4.499475391,2259.307704,4.91078E+11,360,Asia,South-eastern Asia,
4/1/2000,ILS,Israel,14.5,4,3.62,2000,ISR,0.012565259,26521.37767,1.74245E+11,376,Asia,Western Asia,
4/1/2000,JPY,Japan,294,106,2.77,2000,JPN,0.117992777,42190.80487,5.37701E+12,392,Asia,Eastern Asia,
4/1/2000,MYR,Malaysia,4.52,3,1.51,2000,MYS,5.390988299,7112.055595,1.72171E+11,458,Asia,South-eastern Asia,
4/1/2000,MXN,Mexico,20.9,9,2.32,2000,MEX,-0.039844481,8960.554086,9.11152E+11,484,Americas,Latin America and the Caribbean,
4/1/2000,NZD,New Zealand,3.4,2,1.7,2000,NZL,4.680319746,31084.07436,1.22735E+11,554,Oceania,Australia and New Zealand,
4/1/2000,PLN,Poland,5.5,4,1.38,2000,POL,2.041715953,8815.45902,3.37018E+11,616,Europe,Eastern Europe,11.52765336
4/1/2000,SGD,Singapore,3.2,1,3.2,2000,SGP,3.91467511,33565.97229,1.4017E+11,702,Asia,South-eastern Asia,
4/1/2000,ZAR,South Africa,9,6,1.5,2000,ZAF,3.700382352,6161.447832,2.84356E+11,710,Africa,Sub-Saharan Africa,
4/1/2000,SEK,Sweden,24,8,3,2000,SWE,2.075300803,46123.93699,4.11654E+11,752,Europe,Northern Europe,11.61453255
4/1/2000,CHF,Switzerland,5.9,1,5.9,2000,CHE,0.162612902,67860.24483,4.94345E+11,756,Europe,Western Europe,11.69403025
4/1/2000,THB,Thailand,55,38,1.45,2000,THA,6.148879817,3731.264529,2.39059E+11,764,Asia,South-eastern Asia,
4/1/2001,CAD,Canada,3.33,1,3.33,2001,CAN,1.800895471,45261.33806,1.43225E+12,124,Americas,Northern America,
4/1/2001,ARS,Argentina,2.5,1,2.5,2001,ARG,8.837040796,7380.467087,2.81106E+11,32,Americas,Latin America and the Caribbean,
